"HAT-trie",1024,6508,108235,108230,"Wiki"
"HAT-trie", 2048,2790,250247,250237,"Wiki"
"HAT-trie", 4096,1480,469733,469716,"Wiki"
"HAT-trie", 8192,643,1.08771e+06,1.08767e+06,"Wiki"
"HAT-trie", 16384,353,1.98663e+06,1.98655e+06,"Wiki"
"HAT-trie", 32768,124,5.70335e+06,5.70316e+06,"Wiki"
"HAT-trie", 65536,70,9.97555e+06,9.97523e+06,"Wiki"
"HAT-trie", 131072,38,1.83e+07,1.82993e+07,"Wiki"
"HAT-trie", 262144,18,4.13775e+07,4.13761e+07,"Wiki"
"HAT-trie", 524288,7,9.5362e+07,9.53588e+07,"Wiki"
"HAT-trie", 1048576,4,1.93982e+08,1.93972e+08,"Wiki"
"HAT-trie", 2097152,2,4.0381e+08,4.03797e+08,"Wiki"
"HAT-trie", 4194304,1,8.20038e+08,8.20003e+08,"Wiki"
"HAT-trie", 5077651,1,8.86547e+08,8.86504e+08,"Wiki"
"Marisa", 1024,807,858457,858413,"Wiki"
"Marisa", 2048,418,1.69112e+06,1.69104e+06,"Wiki"
"Marisa", 4096,210,3.36188e+06,3.36175e+06,"Wiki"
"Marisa", 8192,107,6.46384e+06,6.46357e+06,"Wiki"
"Marisa", 16384,57,1.22615e+07,1.2261e+07,"Wiki"
"Marisa", 32768,30,2.37641e+07,2.37633e+07,"Wiki"
"Marisa", 65536,14,4.59351e+07,4.59332e+07,"Wiki"
"Marisa", 131072,7,8.89853e+07,8.89816e+07,"Wiki"
"Marisa", 262144,4,1.77897e+08,1.77888e+08,"Wiki"
"Marisa", 524288,2,3.61863e+08,3.61843e+08,"Wiki"
"Marisa", 1048576,1,7.99594e+08,7.99557e+08,"Wiki"
"Marisa", 2097152,1,1.7539e+09,1.75383e+09,"Wiki"
"Marisa", 4194304,1,3.5824e+09,3.58225e+09,"Wiki"
"Marisa", 5077651,1,3.94044e+09,3.94026e+09,"Wiki"
"DAWG",1024,181,3.88242e+06,3.88223e+06,"Wiki"
"DAWG",2048,95,7.18685e+06,7.18663e+06,"Wiki"
"DAWG",4096,54,1.37628e+07,1.37623e+07,"Wiki"
"DAWG",8192,27,2.54998e+07,2.5499e+07,"Wiki"
"DAWG",16384,14,4.98236e+07,4.98217e+07,"Wiki"
"DAWG",32768,7,9.10814e+07,9.10785e+07,"Wiki"
"DAWG",65536,4,1.76892e+08,1.76885e+08,"Wiki"
"DAWG",131072,2,3.5917e+08,3.59144e+08,"Wiki"
"DAWG",262144,1,7.68732e+08,7.68698e+08,"Wiki"
